Code_BV,Code_Circ,Circonscription,Code_Del,Delegation,Nom_Ecole,del_id,del_fr,del_ar,gouv_id,gouv_ar,Type,Version,Inscrits,Votants,V_exprm,V_nuls,V_blancs,CAND_01,CAND_02,CAND_03,CAND_04,CAND_05,CAND_06,CAND_07,CAND_08,CAND_09,CAND_10,CAND_11,CAND_12,CAND_13,CAND_14,CAND_15,CAND_16,CAND_17,CAND_18,CAND_19,CAND_20,CAND_21,CAND_22,CAND_23,CAND_24,CAND_25,CAND_26,CAND_27,Total_T1,erreur
1040403502,,,,El Kabaria,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 2,TN11G,,,,,bureau de vote,2014,574,447,N/A,N/A,N/A,1,0,2,4,1,0,159,44,1,0,2,1,4,0,4,2,1,1,0,0,6,2,7,161,0,6,18,427,1
2030402103,,,,Elomrane Supérieur,م إبتدائية الشابي - العمران الاعلى   مكتب 3,TN116,,,,,bureau de vote,2014,578,N/A,N/A,N/A,N/A,1,1,0,6,0,0,146,21,1,0,8,0,5,1,0,3,0,1,0,0,3,1,9,115,0,15,37,374,1
2040503006,,,,lE Kram,م إبتدائية سيدي عمر الكرم الغربي  مكتب 6,TN11K,,,,,bureau de vote,2014,549,302,N/A,N/A,N/A,0,0,4,1,0,1,153,23,1,0,0,0,2,0,1,0,0,0,0,1,0,0,3,78,0,4,28,300,1
2060405403,,,,El Menzah,م إبتدائية المنار 1 - المنار(1)  مكتب 3,TN118,,,,,bureau de vote,2014,559,N/A,N/A,N/A,N/A,0,0,5,5,0,1,286,6,0,0,4,0,2,0,0,1,0,0,0,0,2,0,4,97,0,6,42,461,1
2080307308,,,,La Goulette,م إبتدائية العوينة حي الطيب المهيري  مكتب 8,TN11J,,,,,bureau de vote,2014,N/A,N/A,N/A,N/A,N/A,1,0,6,5,0,0,164,35,0,0,5,0,3,0,0,5,0,0,0,0,2,0,3,82,4,8,92,415,1
3110311901,,,,Mornag,م إبتدائية بئر الجديد - الخليدية  مكتب 1,TN13C,,,,,bureau de vote,2014,556,387,N/A,N/A,N/A,0,0,1,5,2,3,146,22,2,3,5,2,10,0,1,1,1,4,0,0,6,0,5,128,2,13,19,381,1
4010100102,,,,Ariana Ville,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 2,TN121,,,,,bureau de vote,2014,517,462,455,N/A,N/A,0,0,5,3,0,0,301,11,1,2,1,1,1,0,0,0,0,0,1,2,1,0,5,95,0,3,22,455,1
4010300805,,,,Ariana Ville,م إبتدائية المدرسة الدوليـة - اريانة المدينة   مكتب 5,TN121,,,,,bureau de vote,2014,N/A,N/A,N/A,N/A,N/A,0,0,3,1,0,0,97,18,0,0,2,0,4,0,0,7,0,0,0,0,0,0,3,112,0,6,57,310,1
4030304204,,,,Cité Ettathamen,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 4,TN126,,,,,bureau de vote,2014,558,347,N/A,N/A,N/A,0,0,1,1,0,1,102,31,1,1,1,0,3,0,1,2,0,0,0,2,1,0,1,163,1,9,22,344,1
4040104805,,,,Raoued,م إبتدائية جعفر 1 - جعفر  مكتب 5,TN123,,,,,bureau de vote,2014,N/A,N/A,N/A,N/A,N/A,1,0,2,3,0,0,126,23,0,0,5,0,11,0,0,6,1,0,0,2,0,0,1,167,0,14,28,390,1
4040205203,,,,Raoued,م إبتدائية الفرابي حي الغزالة   مكتب 3,TN123,,,,,bureau de vote,2014,N/A,N/A,N/A,N/A,N/A,0,0,1,8,0,0,190,12,0,1,5,0,6,0,0,1,0,0,1,0,4,0,2,130,0,1,55,417,1
4040205205,,,,Raoued,م إبتدائية الفرابي حي الغزالة   مكتب 5,TN123,,,,,bureau de vote,2014,N/A,N/A,N/A,N/A,N/A,0,0,1,4,0,0,139,22,0,0,4,0,15,0,0,2,1,0,0,0,4,0,2,111,0,5,57,367,1
4050106102,,,,Soukra,م إبتدائية سيدي فرج سكرة   مكتب 2,TN122,,,,,bureau de vote,2014,520,417,N/A,N/A,N/A,0,0,1,3,1,1,238,13,1,3,4,0,4,5,0,0,0,0,3,0,4,0,4,110,0,2,12,409,1
