"","Code_Del","Délégation"
"7894",2107,"Sidi Oulwen"
"7927",2108,"Chorbane"
"7951",2109,"Ksour Essef"
"7997",2110,"Melloulech"
"8029",2201,"Bekalta"
"8045",2202,"Sahline"
"8071",2203,"Moknine"
"8150",2204,"Monastir"
"8248",2205,"Ouerdenine"
"8267",2206,"Benbla"
"8295",2207,"Bni Hassen"
"8311",2208,"Jammel"
"8366",2209,"Zarmedine"
"8391",2210,"Sayada Lamta Bouhjar"
"8417",2211,"Tbolba"
"8449",2212,"Ksar Hlel"
"8496",2213,"Ksibet Ilmadiouni"
"8529",2301,"El-Hencha"
"8578",2302,"El-Amra"
"8606",2303,"Bir Ali Ben Khalifa"
"8665",2304,"Jbeniana"
"8708",2305,"Sakiet Eddaier"
"8804",2306,"Sakiet Ezzit"
"8899",2307,"Kerkennah"
"8917",2308,"Menzel Chaker"
"8956",2401,"Skhira"
"8998",2402,"El-Ghraiba"
"9014",2403,"Mahres"
"9047",2404,"Sfax Sud"
"9151",2405,"Sfax Ouest"
"9253",2406,"Sfax Ville"
"9364",2407,"Thyna"
"9408",2408,"Agareb"
"9453",2501,"EL Hamma"
"9523",2502,"ElMetouia"
"9550",2503,"Ghannouch"
"9573",2504,"Gabes Sud"
"9640",2505,"Gabes Ouest"
"9670",2506,"Gabes Medina"
"9716",2507,"Mareth"
"9785",2508,"Matmata"
"9794",2509,"La Nouvelle matmata"
"9813",2510,"Menzel El Habib"
"9833",2601,"Ben Guerdane"
"9900",2602,"Beni Khadech"
"9941",2603,"Djerba Ajim"
"9960",2604,"Djerba Houmet Souk"
"10020",2605,"Djerba Midoun"
"10069",2606,"Zarzis"
"10144",2607,"Sidi Makhlouf"
"10176",2608,"Medenine Sud"
"10238",2609,"Medenine Nord"
"10285",2701,"Smar"
"10302",2702,"Bir  Lahmar"
"10313",2703,"Tataouine Sud"
"10349",2704,"Tataouine Nord"
"10405",2705,"Dhehiba"
"10410",2706,"Remeda"
"10422",2707,"Ghomrassen"
