Code_unité,Type_d'objet,Version,id_old,id,name_latin,Nom_arabe,Inscrits,Votants,V_exprm,V_nuls,V_blancs,CAND_01,CAND_02,CAND_03,CAND_04,CAND_05,CAND_06,CAND_07,CAND_08,CAND_09,CAND_10,CAND_11,CAND_12,CAND_13,CAND_14,CAND_15,CAND_16,CAND_17,CAND_18,CAND_19,CAND_20,CAND_21,CAND_22,CAND_23,CAND_24,CAND_25,CAND_26,CAND_27,Total_T1,Erreur
4040205203,bureau de vote,2014,TN123,TN123,Raoued,م إبتدائية الفرابي حي الغزالة   مكتب 3,N/A,N/A,N/A,N/A,N/A,0,0,1,8,0,0,190,12,0,1,5,0,6,0,0,1,0,0,1,0,4,0,2,130,0,1,55,417,
4040205205,bureau de vote,2014,TN123,TN123,Raoued,م إبتدائية الفرابي حي الغزالة   مكتب 5,N/A,N/A,N/A,N/A,N/A,0,0,1,4,0,0,139,22,0,0,4,0,15,0,0,2,1,0,0,0,4,0,2,111,0,5,57,367,
4050106102,bureau de vote,2014,TN122,TN122,Soukra,م إبتدائية سيدي فرج سكرة   مكتب 2,520,417,N/A,N/A,N/A,0,0,1,3,1,1,238,13,1,3,4,0,4,5,0,0,0,0,3,0,4,0,4,110,0,2,12,409,
4050507004,bureau de vote,2014,TN122,TN122,Soukra,م إبتدائية حي الصحة برج الوزير   مكتب 4,N/A,N/A,N/A,N/A,N/A,0,0,2,3,0,0,128,34,0,0,1,0,6,0,0,3,0,0,0,0,1,0,2,135,0,13,22,350,
4070409101,bureau de vote,2014,TN124,TN124,kalaât El Andalous,م إبتدائية برج يوسف - بوحنش  مكتب 1,N/A,N/A,N/A,N/A,N/A,2,0,1,1,1,2,84,15,1,0,3,0,5,0,0,1,0,0,0,1,2,1,0,55,0,20,2,197,
4070409201,bureau de vote,2014,TN124,TN124,kalaât El Andalous,م إبتدائية بوحنش   مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,1,2,0,2,86,55,0,0,5,0,2,0,1,0,0,0,0,0,1,0,0,97,0,7,2,262,
6060814101,bureau de vote,2014,TN195,TN225,Ain Drahem,م إبتدائية أولاد عريض - سلول   مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,1,7,2,5,50,22,1,0,4,1,3,2,1,2,2,2,0,0,6,1,0,16,1,14,1,145,
7020903501,bureau de vote,2014,TN1AA,TN23A,Dahmani,م إبتدائية أولاد سلطان - سيدي بركات الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,1,25,6,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,3,0,1,11,53,
7030103801,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية النور 2 السرس - السرس الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,0,3,2,0,1,177,21,3,0,7,0,4,5,0,1,3,1,0,0,3,0,0,59,0,3,47,341,
7030204002,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي الزهور السرس - السرس الجنوبية  مكتب 2,N/A,N/A,N/A,N/A,N/A,0,0,2,2,0,2,211,23,0,1,3,0,4,0,0,2,1,0,2,0,1,0,0,81,0,10,42,387,
7030204003,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي الزهور السرس - السرس الجنوبية  مكتب 3,N/A,N/A,N/A,N/A,N/A,2,1,4,2,0,1,134,26,0,1,2,0,1,0,0,0,0,0,0,0,0,0,4,48,0,11,33,270,
7030304202,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي النور1 السرس  مكتب 2,N/A,N/A,N/A,N/A,N/A,2,2,1,8,2,2,162,10,1,2,6,1,8,4,1,3,1,3,1,1,9,0,1,51,0,10,24,316,
7030304203,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي النور1 السرس  مكتب 3,N/A,N/A,N/A,N/A,N/A,1,0,3,1,0,2,182,15,1,3,4,0,4,0,0,2,3,0,0,2,5,0,0,95,0,11,33,367,
7030304204,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي النور1 السرس  مكتب 4,N/A,N/A,N/A,N/A,N/A,2,0,5,1,0,0,171,7,0,2,1,0,3,2,0,1,2,1,1,0,4,0,2,71,1,15,41,333,
7030304205,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي النور1 السرس  مكتب 5,N/A,N/A,N/A,N/A,N/A,1,0,3,0,0,2,130,18,0,0,2,0,1,1,0,0,0,0,0,0,1,0,2,62,0,9,35,267,
7030304206,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية حي النور1 السرس  مكتب 6,N/A,N/A,N/A,N/A,N/A,0,0,3,0,0,0,102,23,0,0,2,0,2,0,0,1,0,1,0,0,0,0,1,61,1,3,41,241,
7030404301,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية مهدية بوصليعة   مكتب 1,N/A,N/A,N/A,N/A,N/A,2,2,2,7,0,3,83,8,1,2,5,4,2,0,0,1,0,1,2,0,4,1,1,6,1,8,8,154,
7030404302,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية مهدية بوصليعة   مكتب 2,N/A,N/A,N/A,N/A,N/A,0,0,3,1,0,0,38,7,0,0,2,1,1,0,0,0,0,0,0,0,3,0,1,5,1,12,23,98,
7030604801,bureau de vote,2014,TN1AB,TN23B,Es Seres,م إبتدائية العرقوب السرس - المرجى  مكتب 1,N/A,N/A,N/A,N/A,N/A,4,0,1,1,0,1,58,2,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,1,0,9,2,86,
7070109803,bureau de vote,2014,TN1A1,TN231,Kef Ouest,م إبتدائية سواني العنب 2 الكاف - وادي الرمل الشمالية  مكتب 3,N/A,N/A,N/A,N/A,N/A,0,0,1,1,0,0,183,25,0,2,3,0,2,0,0,0,0,0,0,2,0,0,2,56,1,4,58,340,
7080211201,bureau de vote,2014,TN1A5,TN235,Tajerouine,م إبتدائية السبيعات - تاجروين الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,0,11,1,0,0,107,17,4,0,2,1,0,1,0,1,0,0,0,1,2,0,0,31,0,5,33,218,
7080211301,bureau de vote,2014,TN1A5,TN235,Tajerouine,م إبتدائية حي الطيب المهيري - تاجروين الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,1,3,4,1,1,165,17,3,1,4,2,3,1,2,2,6,2,2,1,8,1,0,105,0,13,36,385,
7080211302,bureau de vote,2014,TN1A5,TN235,Tajerouine,م إبتدائية حي الطيب المهيري - تاجروين الجنوبية  مكتب 2,N/A,N/A,N/A,N/A,N/A,1,0,0,0,1,0,131,19,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,109,0,8,48,323,
7080311401,bureau de vote,2014,TN1A5,TN235,Tajerouine,م إبتدائية المحطة تاجروين - عين الآبار  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,82,7,1,0,2,1,2,0,0,0,0,1,0,0,2,0,3,43,0,7,14,166,
8010100101,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية الحبابسة - الحبابسة الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,2,0,2,1,0,17,9,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,7,0,2,16,61,
8010100201,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية الباطن - الحبابسة الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,1,1,0,1,38,2,0,0,1,0,1,0,1,0,0,2,1,0,3,0,0,2,0,7,33,94,
8010100301,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية أولاد بلغيث - الحبابسة الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,21,34,
8010200401,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية الشوشة - الحبابسة الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,2,1,0,0,0,32,5,0,0,3,0,3,1,1,2,3,3,0,0,0,0,1,33,0,3,38,132,
8010200501,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية المقرونة الروحية - الحبابسة الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,1,1,84,4,1,0,0,0,0,2,0,1,0,2,0,1,1,0,1,8,0,12,11,131,
8010200601,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية  15أكتوبر خنقة الزقلاص - الحبابسة الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,5,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,17,
8010300701,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية جلاب القديمة - الجميلات  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,2,0,3,60,2,1,0,2,0,2,0,0,0,1,3,0,0,1,0,0,7,1,5,10,101,
8010300801,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية عبد الصادق - الجميلات  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,22,
8010300901,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية النقاقشة الروحية - الجميلات  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,8,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,2,2,0,7,20,46,
8010301001,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية الصويوين - الجميلات  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,1,0,0,0,41,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,9,59,
8010301101,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية الجلاب الجديدة - الجميلات  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,3,12,2,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,17,5,45,
8010401201,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية برج دبيش - السميرات الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,2,1,27,1,0,1,1,1,0,1,0,1,1,2,0,0,2,0,0,7,0,0,7,56,
8010401301,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية المرثوم الروحية - السميرات الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,2,0,3,103,1,0,0,1,1,3,3,0,2,0,0,1,1,2,0,0,7,0,4,8,143,
8010401401,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية السميرات - السميرات الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,2,0,0,2,0,0,36,2,1,0,0,0,1,1,0,1,1,0,2,0,2,0,0,11,0,3,12,77,
8010501501,bureau de vote,2014,TN1B8,TN248,Er Rouhia,م إبتدائية النجايمية الروحية - السميرات الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,1,1,0,1,0,27,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,1,1,0,5,44,
